ZIP Code,Neighborhood,Population
98001,Auburn,31911.0
98002,Auburn,31647.0
98003,Federal Way,44151.0
98004,Bellevue,27946.0
98005,Bellevue,17714.0
98006,Bellevue,36364.0
98007,Bellevue,24889.0
98008,Bellevue,24411.0
98010,Black Diamond,5025.0
98011,Bothell,29212.0
98014,Carnation,6765.0
98019,Duvall,10725.0
98022,Enumclaw,20987.0
98023,Federal Way,47510.0
98024,Fall City,5650.0
98027,Issaquah,26141.0
98028,Kenmore,20419.0
98029,Issaquah,24348.0
98030,Kent,33769.0
98031,Kent,36581.0
98032,Kent,33853.0
98033,Kirkland,34338.0
98034,Kirkland,40407.0
98038,Maple Valley,31171.0
98039,Medina,2971.0
98040,Mercer Island,22699.0
98042,Kent,43673.0
98045,North Bend,13888.0
98047,Pacific,6339.0
98051,Ravensdale,3270.0
98052,Redmond,58442.0
98053,Redmond,18784.0
98055,Renton,21904.0
98056,Renton,32489.0
98057,Renton,10613.0
98058,Renton,41938.0
98059,Renton,34463.0
98065,Snoqualmie,12699.0
98070,Vashon,10624.0
98072,Woodinville,22312.0
98074,Sammamish,25748.0
98075,Sammamish,20715.0
98077,Woodinville,13585.0
98092,Auburn,39816.0
98101,Seattle,10238.0
98102,Seattle,20756.0
98103,Seattle,45911.0
98104,Seattle,13095.0
98105,Seattle,43924.0
98106,Seattle,22873.0
98107,Seattle,21147.0
98108,Seattle,22374.0
98109,Seattle,20715.0
98112,Seattle,21077.0
98115,Seattle,46206.0
98116,Seattle,22241.0
98117,Seattle,31365.0
98118,Seattle,42731.0
98119,Seattle,21039.0
98121,Seattle,12628.0
98122,Seattle,31454.0
98125,Seattle,37081.0
98126,Seattle,20698.0
98131,Seattle,
98132,Seattle,
98133,Seattle,44555.0
98134,Seattle,644.0
98136,Seattle,14770.0
98144,Seattle,26881.0
98146,Seattle,25922.0
98148,Seattle,10010.0
98154,Seattle,
98155,Seattle,32778.0
98158,Seattle,
98161,Seattle,
98164,Seattle,141.0
98166,Seattle,20301.0
98168,Seattle,33734.0
98174,Seattle,
98177,Seattle,19030.0
98178,Seattle,24092.0
98188,Seattle,23111.0
98195,Seattle,
98198,Seattle,34584.0
98199,Seattle,19686.0
98224,Baring,294.0
98251,Gold Bar,4567.0
98288,Skykomish,333.0
98321,Buckley,15152.0
98354,Milton,6976.0
98826,Leavenworth,6504.0
98922,Cle Elum,5468.0
98009,Bellevue,
98013,Burton,
98015,Bellevue,
98025,Hobart,
98035,Kent,
98041,Bothell,
98050,Preston,322.0
98062,Seahurst,
98063,Federal Way,
98064,Kent,
98071,Auburn,
98073,Redmond,
98082,Mill Creek,
98083,Kirkland,
98089,Kent,
98093,Federal Way,
98111,Seattle,
98113,Seattle,
98114,Seattle,
98124,Seattle,
98127,Seattle,
98138,Seattle,
98139,Seattle,
98141,Seattle,
98145,Seattle,
98160,Seattle,
98165,Seattle,
98175,Seattle,
98194,Seattle,
98129,Seattle,
98170,Seattle,
98181,Seattle,
98185,Seattle,
98189,Seattle,
98190,Seattle,
98191,Seattle,
